,Sprint_runner,Exchange_runner,Result_runner,Arm_Strength_runner,Result_catcher,Exchange_catcher,Arm_Strength_catcher,Sprint_catcher,Result
0,27.939999999999998,0.7233333333333333,0.6,79.96666666666667,0.8,0.7400000000000001,84.89999999999999,27.05,0
1,27.199999999999996,0.716,1.0,80.61999999999998,0.7,0.75,81.39999999999999,28.049999999999997,1
2,27.199999999999996,0.716,1.0,80.61999999999998,0.7,0.75,81.39999999999999,28.049999999999997,1
3,27.800000000000004,0.692,1.0,73.59,0.7,0.7000000000000001,83.20000000000002,28.428571428571427,1
4,28.5,,0.4,,0.7,0.7000000000000001,83.20000000000002,28.428571428571427,1
5,28.699999999999996,0.784,1.0,79.50999999999999,0.7,0.75,81.39999999999999,28.037499999999998,0
6,29.9,0.715,0.7,87.05,0.7,0.75,84.39999999999999,27.400000000000002,1
7,29.9,0.715,0.7,87.05,0.7,0.75,84.39999999999999,27.400000000000002,1
8,28.4,0.7300000000000001,0.9,79.35000000000001,0.8,0.7300000000000001,78.79999999999998,27.666666666666668,1
9,28.26,0.7230000000000001,0.7,82.23999999999998,1.0,0.7699999999999999,73.60000000000001,27.849999999999998,0
10,28.5,0.7000000000000001,0.4,79.64285714285714,1.0,0.7699999999999999,73.60000000000001,27.849999999999998,1
11,28.02,0.79,0.6,82.74999999999999,0.6,0.75,81.39999999999999,28.014285714285712,1
12,29.9,0.7139999999999999,0.7,80.38000000000001,0.7,0.7800000000000001,84.60000000000001,27.46,1
13,29.6,0.7449999999999999,0.7,80.64,0.8,0.7599999999999999,84.10000000000001,28.17142857142857,1
14,29.5,0.7342857142857141,0.4,81.74285714285713,0.6,0.718,77.37999999999998,27.45,1
15,28.559999999999995,0.77,0.6,81.89999999999999,0.6,0.718,77.37999999999998,27.45,1
16,28.800000000000004,0.7757142857142858,0.9,80.0,0.6,0.718,77.37999999999998,27.45,0
17,29.5,0.7342857142857141,0.4,81.74285714285713,0.6,0.718,77.37999999999998,27.45,1
18,25.97,0.7428571428571429,0.4,81.47142857142856,0.7,0.7199999999999999,76.70000000000002,27.550000000000004,1
19,27.5,0.68,0.7,81.3,0.8,0.71,86.20000000000002,27.87142857142857,0
20,27.699999999999996,0.7399999999999999,0.4,84.5,0.8,0.71,86.20000000000002,27.87142857142857,1
21,28.800000000000004,0.765,1.0,79.15,0.9,0.7000000000000001,76.0,28.58888888888889,0
22,27.05,0.7050000000000001,1.0,79.82000000000002,1.0,0.6399999999999999,74.20000000000002,27.75,0
23,27.300000000000004,0.7399999999999998,1.0,85.79999999999998,0.8,0.7699999999999999,76.0,27.842857142857145,1
24,26.699999999999996,0.7314285714285715,0.7,80.0,0.7,0.6899999999999998,80.70000000000002,27.675,1
25,29.699999999999996,0.71,1.0,79.60000000000001,0.7,0.67,76.5,27.4,1
26,29.699999999999996,0.71,1.0,79.60000000000001,0.7,0.67,76.5,27.4,1
27,27.9,0.69,0.4,74.93333333333334,0.5,0.7300000000000001,79.0,27.566666666666663,0
28,25.96,0.7371428571428573,0.9,74.02857142857142,0.5,0.62,77.10000000000001,28.037499999999998,1
