,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Start_Base,End_Base,Event,runner_id,runner_name,pitcher_id,pitcher_name,batter_id,batter_name,pitch_hand,credit,credit_id,homeScore,awayScore,inning,isTopInning,Date,Action,Base,Year,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y,Current_Year_x.1,Sprint_x.1,Current_Year_y.1,Sprint_y.1,Current_Year_x,Sprint_x,Current_Year_y,Sprint_y
15,15,15,15,15,15,1B,2B,Stolen Base 2B,518735,Yasmani Grandal,521230,Liam Hendriks,519058,Mike Moustakas,R,Chris Herrmann,543302,1,1,8,True,2019-07-30,Stolen,2B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
16,16,16,16,16,16,1B,,Caught Stealing 2B,605480,Mallex Smith,596043,Daniel Mengden,641487,J.P. Crawford,R,Chris Herrmann,543302,2,6,5,False,2019-07-07,Caught,2B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
17,17,17,17,17,17,1B,2B,Stolen Base 2B,621439,Byron Buxton,664196,Tanner Anderson,596146,Max Kepler,R,Chris Herrmann,543302,0,1,4,True,2019-07-04,Stolen,2B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
18,18,18,18,18,18,2B,,Caught Stealing 3B,573262,Mike Yastrzemski,595014,Blake Treinen,607680,Kevin Pillar,R,Chris Herrmann,543302,4,5,7,True,2019-08-25,Caught,3B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
19,19,19,19,19,19,1B,2B,Caught Stealing 3B,446334,Evan Longoria,595014,Blake Treinen,607680,Kevin Pillar,R,Chris Herrmann,543302,4,5,7,True,2019-08-25,Caught,3B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
20,20,20,20,20,20,1B,2B,Stolen Base 2B,544725,Leury García,543699,Tanner Roark,445055,Jon Jay,R,Chris Herrmann,543302,1,0,3,False,2019-08-10,Stolen,2B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
21,21,21,21,21,21,2B,3B,Stolen Base 3B,544725,Leury García,543699,Tanner Roark,445055,Jon Jay,R,Chris Herrmann,543302,1,0,3,False,2019-08-10,Stolen,3B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
22,22,22,22,22,22,1B,2B,Stolen Base 2B,519203,Anthony Rizzo,605135,Chris Bassitt,595879,Javier Báez,R,Chris Herrmann,543302,1,2,3,False,2019-08-05,Stolen,2B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
23,23,23,23,23,23,2B,3B,Stolen Base 3B,606115,Orlando Arcia,605135,Chris Bassitt,518735,Yasmani Grandal,R,Chris Herrmann,543302,1,0,6,True,2019-07-30,Stolen,3B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
24,24,24,24,24,24,1B,2B,Stolen Base 2B,518735,Yasmani Grandal,521230,Liam Hendriks,519058,Mike Moustakas,R,Chris Herrmann,543302,1,1,8,True,2019-07-30,Stolen,2B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
25,25,25,25,25,25,1B,,Caught Stealing 2B,605480,Mallex Smith,596043,Daniel Mengden,641487,J.P. Crawford,R,Chris Herrmann,543302,2,6,5,False,2019-07-07,Caught,2B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
26,26,26,26,26,26,1B,2B,Stolen Base 2B,621439,Byron Buxton,664196,Tanner Anderson,596146,Max Kepler,R,Chris Herrmann,543302,0,1,4,True,2019-07-04,Stolen,2B,2019,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5,2020,27.5
